frame,timestamp,evaluation_phase,target_id,pred_x,pred_y,radius,confidence,actionable,position_uncertainty_px,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,bg_registry_state,bg_certified_count,stale_recovery_committed,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg,white_active,identity_window_active,identity_switched
0,0.000000,seed,,,,,0.0000,0,0.000,0,1,582.734,86.707,,14,14,0,dormant,0,0,0,0,0.0000,0.0000,0.0000,0,0,0
1,0.030056,seed,,,,,0.0000,0,0.000,0,1,582.871,86.685,,14,14,0,dormant,0,0,0,0,-0.2472,-0.4659,0.0000,0,0,0
2,0.060111,seed,,,,,0.0000,0,0.000,0,1,582.904,86.704,,15,15,0,dormant,0,0,0,0,-0.2304,-0.1819,0.0000,0,0,0
3,0.090167,seed,1,342.518,251.007,66.285,0.8000,1,1.933,0,0,582.957,86.386,,13,15,0,dormant,0,0,0,0,-1.2874,-3.1904,0.0000,1,0,0
4,0.120222,seed,1,342.946,251.143,66.593,1.0000,1,1.895,0,0,582.941,86.400,,13,15,0,dormant,0,0,0,0,-0.5198,-1.1881,0.0000,1,0,0
5,0.150278,seed,1,342.978,251.247,66.347,1.0000,1,1.890,0,0,582.964,86.477,,13,15,0,dormant,0,0,0,0,-0.1837,-0.6359,0.0000,1,0,0
6,0.180334,seed,1,342.911,251.712,65.770,1.0000,1,1.901,0,0,582.979,86.235,,13,15,0,dormant,0,0,0,0,-0.0627,-0.5094,0.0000,1,0,0
7,0.210389,seed,1,342.522,251.373,65.791,1.0000,1,1.916,0,0,582.983,86.438,,13,15,0,dormant,0,0,0,0,-0.2667,-0.4651,0.0000,1,0,0
8,0.240445,seed,1,343.025,252.213,64.904,1.0000,1,1.933,0,0,582.916,86.475,,13,15,0,dormant,0,0,0,0,-0.3761,-1.5124,0.0000,1,0,0
9,0.270501,seed,1,344.418,252.905,64.897,1.0000,1,1.947,0,0,582.928,86.460,,13,15,0,dormant,0,0,0,0,-0.2924,-2.0384,0.0000,1,0,0
10,0.300556,seed,1,344.891,252.194,64.921,1.0000,1,1.958,0,0,583.195,86.548,,14,15,0,dormant,0,0,0,0,-0.4756,-1.8441,0.0000,1,0,0
11,0.330612,seed,1,345.984,252.420,64.466,1.0000,1,1.967,0,0,583.359,86.344,,15,16,0,dormant,0,0,0,0,-0.4668,-1.7546,0.0000,1,0,0
12,0.360667,seed,1,346.575,251.537,64.165,1.0000,1,1.974,0,0,583.245,86.440,,15,16,0,dormant,0,0,0,0,-0.3994,-2.7250,0.0000,1,0,0
13,0.390723,seed,1,344.044,251.987,63.540,1.0000,1,1.979,0,0,583.200,86.336,,15,16,0,dormant,0,0,0,0,-0.2522,-2.4190,0.0000,1,0,0
14,0.420779,seed,1,345.976,252.225,64.003,1.0000,1,1.982,0,0,583.023,86.479,,15,16,0,dormant,0,0,0,0,0.0317,-1.8108,0.0000,1,0,0
15,0.450834,seed,1,347.718,251.906,63.343,1.0000,1,1.985,0,0,583.207,86.463,,15,16,0,dormant,0,0,0,0,0.0978,-2.3349,0.0000,1,0,0
16,0.480890,seed,1,348.198,251.986,63.444,1.0000,1,1.987,0,0,583.120,86.450,,15,16,0,dormant,0,0,0,0,-0.0589,-2.0502,0.0000,1,0,0
17,0.510946,seed,1,349.095,250.889,63.547,1.0000,1,1.988,0,0,583.574,86.328,,15,16,0,dormant,0,0,0,0,0.1595,-1.8871,0.0000,1,0,0
18,0.541001,seed,1,349.105,248.596,63.384,1.0000,1,1.988,0,0,583.836,86.096,,16,17,0,dormant,0,0,0,0,0.1899,-2.0350,0.0000,1,0,0
19,0.571057,seed,1,348.961,247.781,64.195,1.0000,1,1.989,0,0,583.201,86.186,,16,17,0,dormant,0,0,0,0,0.3070,-2.3047,0.0000,1,0,0
20,0.601112,seed,1,348.609,247.070,64.996,1.0000,1,1.989,0,0,583.315,86.255,,15,17,0,dormant,0,0,0,0,0.2494,-2.4615,0.0000,1,0,0
21,0.631168,seed,1,348.656,245.662,64.913,1.0000,1,1.990,0,0,583.305,85.829,,15,17,0,dormant,0,0,0,0,0.4527,-2.1560,0.0000,1,0,0
22,0.661224,seed,1,348.443,245.112,65.122,1.0000,1,1.990,0,0,583.280,86.152,,15,18,0,dormant,0,0,0,0,0.5340,-1.1071,0.0000,1,0,0
23,0.691279,seed,1,348.985,244.285,64.896,1.0000,1,1.990,0,0,571.846,88.779,,15,17,0,dormant,0,0,0,0,0.5452,-1.9176,0.0000,1,0,0
24,0.721335,seed,1,348.553,243.648,65.090,1.0000,1,1.990,0,0,545.549,97.834,,15,17,0,dormant,0,0,0,0,0.8735,-1.9315,0.0000,1,0,0
25,0.751390,seed,1,348.869,242.253,64.535,1.0000,1,1.990,0,0,521.815,110.564,,15,17,0,dormant,0,0,0,0,0.9887,-2.0865,0.0000,1,0,0
26,0.781446,seed,1,349.250,242.046,64.590,1.0000,1,1.990,0,0,,,,15,17,0,dormant,0,0,0,0,0.8238,-2.1073,0.0000,1,0,0
27,0.811502,seed,1,349.349,241.350,64.102,1.0000,1,1.990,0,0,,,,15,17,0,dormant,0,0,0,0,0.3326,-1.1821,0.0000,1,0,0
28,0.841557,seed,1,349.839,241.043,63.816,1.0000,1,1.990,0,0,,,,15,17,0,dormant,0,0,0,0,0.9957,-1.6774,0.0000,1,0,0
29,0.871613,seed,1,350.323,239.722,62.783,1.0000,1,1.990,0,0,,,,15,17,0,dormant,0,0,0,0,1.3506,-1.7938,0.0000,1,0,0
30,0.901669,seed,1,351.368,239.778,62.438,1.0000,1,1.990,0,0,435.535,175.418,,15,17,0,dormant,0,0,0,0,1.6946,-1.0772,0.0000,1,0,0
31,0.931724,seed,1,352.963,239.625,61.146,1.0000,1,1.990,0,0,421.983,188.967,,15,17,0,dormant,0,0,0,0,2.3060,-1.2982,0.0000,1,0,0
32,0.961780,seed,1,351.842,239.979,61.321,1.0000,1,1.990,0,0,404.926,201.118,,15,17,0,dormant,0,0,0,0,2.0858,-2.0242,0.0000,1,0,0
33,0.991835,seed,1,352.608,241.345,61.220,1.0000,1,1.990,0,0,395.543,209.156,,15,17,0,dormant,0,0,0,0,2.3555,-1.8087,0.0000,1,0,0
34,1.021891,seed,1,349.871,242.260,62.001,1.0000,1,1.990,0,0,384.029,216.363,,15,17,0,dormant,0,0,0,0,2.1564,-1.6696,0.0000,1,0,0
35,1.051947,seed,1,351.072,242.583,62.387,1.0000,1,1.990,0,0,377.400,220.339,,15,17,0,dormant,0,0,0,0,1.5774,-1.5987,0.0000,1,0,0
36,1.082002,seed,1,350.542,242.894,62.551,1.0000,1,1.990,0,0,373.284,223.376,,14,17,0,dormant,0,0,0,0,2.1716,-1.8484,0.0000,1,0,0
