frame,timestamp,target_id,pred_x,pred_y,radius,confidence,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg
256,8.533018,26,350.966,230.469,42.250,0.2000,0,0,542.308,289.750,,26,26,1,0,0,0.0000,0.0000,0.0000
257,8.566351,26,350.871,230.464,42.112,0.4000,0,0,495.490,284.332,,32,36,1,0,0,2.0234,-1.2642,-1.9391
258,8.599683,26,350.855,230.494,42.167,0.6000,0,0,450.504,278.990,,30,42,1,0,0,0.3180,-0.1471,-2.1943
259,8.633015,26,350.833,230.486,42.196,0.8000,0,0,401.790,268.163,,35,44,1,0,0,2.8506,-1.7376,-0.5450
260,8.666347,26,351.740,231.389,42.293,1.0000,0,0,382.214,260.106,,31,46,1,0,0,2.5660,-1.8496,-2.1627
261,8.699679,26,352.003,231.261,42.358,1.0000,0,0,374.326,254.057,,36,48,1,0,0,2.7898,-2.2352,-0.2858
262,8.733011,26,351.554,230.174,40.954,1.0000,0,0,368.527,247.558,,36,50,1,0,0,3.2834,-2.3376,-2.5513
263,8.766343,26,350.849,228.802,40.332,1.0000,0,0,358.144,241.929,,33,50,1,0,0,2.9073,-2.2800,0.6017
264,8.799675,26,350.623,228.390,41.035,1.0000,0,0,351.557,239.760,,33,50,1,0,0,2.1666,-2.2044,-1.6681
265,8.833007,26,350.717,228.387,41.469,1.0000,0,0,350.507,238.562,,40,52,1,0,0,2.9310,-2.5348,-0.8465
266,8.866339,26,350.853,228.322,41.784,1.0000,0,0,350.518,238.540,,37,53,1,0,0,2.4998,-2.6390,-0.3527
267,8.899672,26,351.130,228.134,41.777,1.0000,0,0,350.447,238.636,,35,55,1,0,0,2.4721,-2.6423,0.2604
268,8.933004,26,351.287,227.989,41.850,1.0000,0,0,350.755,238.712,,37,56,1,0,0,2.5370,-3.0196,1.2821
269,8.966336,26,351.313,227.894,42.141,1.0000,0,0,350.806,238.805,,34,57,1,0,0,1.9266,-2.4338,-0.0376
