frame,timestamp,evaluation_phase,target_id,pred_x,pred_y,radius,confidence,actionable,position_uncertainty_px,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,bg_registry_state,bg_certified_count,stale_recovery_committed,ranker_candidate_id,ranker_margin,ranker_switched,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg,white_active,identity_window_active,identity_switched
0,0.000000,active,6,351.830,257.345,63.749,0.2000,1,2.828,0,0,381.897,261.812,30.397,15,15,0,dormant,0,0,,0.000000,0,0,0,0.0000,0.0000,0.0000,1,0,0
1,0.030026,active,6,351.715,257.956,63.622,0.4000,1,2.273,0,0,381.835,261.741,30.357,16,16,0,dormant,0,0,,0.000000,0,0,0,-0.0058,0.0687,0.0000,1,0,0
2,0.060051,active,6,351.614,255.452,64.904,0.6000,1,2.037,0,0,381.290,261.626,30.312,14,16,0,dormant,0,0,,0.000000,0,0,0,-0.0385,-0.3151,0.0000,1,0,0
3,0.090077,active,6,352.944,256.175,65.801,0.8000,1,1.933,0,0,379.376,262.657,27.216,14,16,0,dormant,0,0,,0.000000,0,0,0,0.6181,-1.6653,0.0000,1,0,0
4,0.120103,active,6,353.015,255.635,65.874,1.0000,1,1.895,0,0,379.190,262.413,27.038,14,16,0,dormant,0,0,,0.000000,0,0,0,0.1603,-0.4979,0.0000,1,0,0
5,0.150128,active,6,351.491,254.125,66.025,1.0000,1,1.890,0,0,379.274,262.378,28.983,14,16,0,dormant,0,0,,0.000000,0,0,0,0.2295,-0.5158,0.0000,1,0,0
6,0.180154,active,6,353.043,258.602,64.872,1.0000,1,1.900,0,0,378.314,262.383,25.553,15,16,0,dormant,0,0,,0.000000,0,0,0,0.1623,-0.4877,0.0000,1,0,0
7,0.210180,active,6,352.872,257.589,65.315,1.0000,1,1.916,0,0,378.217,262.437,25.805,15,16,0,dormant,0,0,,0.000000,0,0,0,0.1526,-0.5682,0.0000,1,0,0
8,0.240205,active,6,352.178,259.463,64.259,1.0000,1,1.932,0,0,378.011,262.434,26.004,14,16,0,dormant,0,0,,0.000000,0,0,0,0.3617,-1.7049,0.0000,1,0,0
9,0.270231,active,6,353.018,254.398,66.855,1.0000,1,1.947,0,0,378.160,263.764,26.830,15,17,0,dormant,0,0,,0.000000,0,0,0,0.5865,-1.9820,0.0000,1,0,0
10,0.300257,active,6,350.921,257.570,67.013,1.0000,1,1.958,0,0,371.336,265.203,21.795,15,17,0,dormant,0,0,,0.000000,0,0,0,0.9711,-1.8076,0.0000,1,0,0
11,0.330282,active,6,350.084,258.030,65.879,1.0000,1,1.967,0,0,369.350,265.290,20.589,16,17,0,dormant,0,0,,0.000000,0,0,0,0.9887,-2.1709,0.0000,1,0,0
12,0.360308,active,6,349.163,260.422,67.031,1.0000,1,1.974,0,0,368.166,265.007,19.549,15,17,0,dormant,0,0,,0.000000,0,0,0,1.2538,-1.7351,0.0000,1,0,0
13,0.390334,active,6,349.084,261.316,65.201,1.0000,1,1.979,0,0,368.185,265.018,19.456,15,17,0,dormant,0,0,,0.000000,0,0,0,1.5458,-2.0100,0.0000,1,0,0
14,0.420359,active,6,343.480,256.205,64.673,1.0000,1,1.982,0,0,368.269,264.981,26.296,16,18,0,dormant,0,0,,0.000000,0,0,0,1.5871,-1.3937,0.0000,1,0,0
15,0.450385,active,6,341.980,254.485,65.596,1.0000,1,1.985,0,0,357.377,265.274,18.801,16,18,0,dormant,0,0,,0.000000,0,0,0,1.7145,-1.6436,0.0000,1,0,0
16,0.480411,active,6,338.703,252.737,65.176,1.0000,1,1.986,0,0,355.515,265.465,21.086,16,18,0,dormant,0,0,,0.000000,0,0,0,1.7194,-1.7398,0.0000,1,0,0
17,0.510437,active,6,334.646,252.838,65.069,1.0000,1,1.987,0,0,351.940,263.465,20.299,15,18,0,dormant,0,0,,0.000000,0,0,0,1.6002,-1.6261,0.0000,1,0,0
18,0.540462,active,6,330.300,253.946,65.860,1.0000,1,1.988,0,0,351.114,263.642,22.962,15,19,0,dormant,0,0,,0.000000,0,0,0,1.6602,-2.1700,0.0000,1,0,0
19,0.570488,active,6,327.567,253.673,66.203,1.0000,1,1.989,0,0,351.261,263.748,25.746,14,19,0,dormant,0,0,,0.000000,0,0,0,2.0438,-1.9757,0.0000,1,0,0
20,0.600514,active,6,324.670,251.897,64.894,1.0000,1,1.989,0,0,351.252,263.729,29.097,13,19,0,dormant,0,0,,0.000000,0,0,0,2.2549,-2.5767,0.0000,1,0,0
21,0.630539,active,6,317.730,249.464,61.897,1.0000,1,1.989,0,0,351.279,263.655,36.426,14,19,0,dormant,0,0,,0.000000,0,0,0,2.0402,-1.5900,0.0000,1,0,0
22,0.660565,active,6,315.993,249.509,60.110,1.0000,1,1.989,0,0,351.233,263.579,37.945,13,21,0,dormant,0,0,,0.000000,0,0,0,2.3384,-1.8502,0.0000,1,0,0
23,0.690591,active,6,317.795,248.206,62.056,1.0000,1,1.990,0,0,351.103,263.649,36.714,12,21,0,dormant,0,0,,0.000000,0,0,0,2.6224,-1.4632,0.0000,1,0,0
24,0.720616,active,6,315.660,249.365,63.101,1.0000,1,1.990,0,0,350.912,263.503,37.982,12,21,0,dormant,0,0,,0.000000,0,0,0,2.8244,-1.4445,0.0000,1,0,0
25,0.750642,active,6,311.151,244.063,62.148,1.0000,1,1.990,0,0,351.249,263.722,44.658,14,21,0,dormant,0,0,,0.000000,0,0,0,2.2481,-1.7951,0.0000,1,0,0
26,0.780668,active,6,312.409,244.868,64.886,1.0000,1,1.990,0,0,351.208,263.606,43.086,14,21,0,dormant,0,0,,0.000000,0,0,0,2.2434,-1.3414,0.0000,1,0,0
27,0.810693,active,6,310.553,243.391,65.250,1.0000,1,1.990,0,0,351.298,263.433,45.407,13,21,2,dormant,0,0,,1.462266,0,0,0,3.4806,-1.4933,0.0000,0,0,0
28,0.840719,active,6,307.635,239.931,70.061,1.0000,1,1.990,0,0,340.026,260.833,38.550,13,20,2,dormant,0,0,,1.581200,0,0,0,2.7431,-1.3746,0.0000,0,0,0
29,0.870745,active,6,303.983,235.867,66.622,1.0000,1,1.990,0,0,317.926,251.861,21.218,13,20,2,dormant,0,0,,1.303112,0,0,0,3.0118,-1.5475,0.0000,0,0,0
30,0.900770,active,6,298.921,235.110,69.864,1.0000,1,1.990,0,0,304.887,243.495,10.291,13,20,2,dormant,0,0,,1.650456,0,0,0,2.9802,-1.4814,0.0000,0,0,0
31,0.930796,active,6,305.920,221.463,77.301,1.0000,1,1.990,0,0,299.240,239.673,19.396,13,20,3,dormant,0,0,,2.048910,0,0,0,3.1649,-1.2715,0.0000,0,0,0
32,0.960822,active,6,304.707,233.664,70.877,1.0000,1,1.990,0,0,295.000,238.725,10.947,13,19,3,dormant,0,0,,2.361403,0,0,0,3.5268,-0.5728,0.0000,0,0,0
33,0.990847,active,6,299.011,229.951,68.321,1.0000,1,1.990,0,0,292.019,237.792,10.506,14,19,3,dormant,0,0,,1.978272,0,0,0,3.3459,-1.6487,0.0000,0,0,0
34,1.020873,active,6,308.630,226.676,72.380,1.0000,1,1.990,0,0,288.127,235.328,22.254,13,19,3,dormant,0,0,,2.185985,0,0,0,3.4140,-1.2317,0.0000,0,0,0
35,1.050899,active,6,313.031,213.596,76.960,1.0000,1,1.990,0,0,283.908,233.342,35.186,13,19,3,dormant,0,0,,2.611544,0,0,0,3.6503,-1.0331,0.0000,0,0,0
36,1.080924,active,6,316.368,212.874,83.781,1.0000,1,1.990,0,0,279.596,231.203,41.087,13,19,3,dormant,0,0,,3.325406,0,0,0,3.7142,-0.7232,0.0000,0,0,0
37,1.110950,active,6,316.348,212.089,81.219,1.0000,1,1.990,0,0,277.843,230.558,42.705,13,18,3,dormant,0,0,,2.325214,0,0,0,3.3426,-0.7155,0.0000,0,0,0
38,1.140976,active,6,309.272,211.411,78.689,1.0000,1,1.990,0,0,275.749,229.448,38.068,13,18,3,dormant,0,0,,2.950880,0,0,0,3.4931,-0.6020,0.0000,0,0,0
39,1.171001,active,6,303.997,210.634,75.973,1.0000,1,1.990,0,0,275.656,225.988,32.233,12,18,4,dormant,0,0,,3.488229,0,0,0,3.9904,-0.6814,0.0000,0,0,0
40,1.201027,active,6,305.575,208.920,76.598,1.0000,1,1.990,0,0,276.219,222.099,32.179,15,19,4,dormant,0,0,,3.745414,0,0,0,3.6910,-1.1339,0.0000,0,0,0
41,1.231053,active,6,299.207,205.955,72.720,1.0000,1,1.990,0,0,275.919,216.305,25.484,14,19,5,dormant,0,0,,4.442615,0,0,0,3.7456,-0.8727,0.0000,0,0,0
42,1.261078,active,6,290.031,201.122,67.093,1.0000,1,1.990,0,0,277.580,210.794,15.766,15,17,5,dormant,0,0,,4.359851,0,0,0,3.7866,-0.6803,0.0000,0,0,0
43,1.291104,active,6,291.496,199.388,66.692,1.0000,1,1.990,0,0,279.606,204.753,13.044,14,16,5,dormant,0,0,,2.899613,0,0,0,3.6229,-0.3924,0.0000,0,0,0
44,1.321130,active,6,288.847,194.234,66.382,1.0000,1,1.990,0,0,281.490,200.270,9.516,15,16,5,dormant,0,0,,2.877290,0,0,0,3.8240,-0.4267,0.0000,0,0,0
45,1.351155,active,6,287.021,194.792,64.451,1.0000,1,1.990,0,0,283.905,197.561,4.168,15,16,5,dormant,0,0,,2.947310,0,0,0,3.6150,-0.8394,0.0000,0,0,0
46,1.381181,active,6,296.358,191.297,68.102,1.0000,1,1.990,0,0,284.228,191.145,12.132,15,16,4,dormant,0,0,,2.968562,0,0,0,3.8039,-0.0661,0.0000,0,0,0
47,1.411207,active,6,284.846,185.823,61.231,1.0000,1,1.990,0,0,285.551,188.319,2.593,15,16,4,dormant,0,0,,3.107454,0,0,0,3.5854,-0.3579,0.0000,0,0,0
48,1.441233,active,6,287.623,183.692,60.359,1.0000,1,1.990,0,0,285.298,187.871,4.782,14,16,4,dormant,0,0,,3.080435,0,0,0,3.6648,-0.4154,0.0000,0,0,0
49,1.471258,active,6,296.281,180.547,63.311,1.0000,1,1.990,0,0,285.836,186.846,12.198,14,16,4,dormant,0,0,,3.152688,0,0,0,3.2850,-0.5389,0.0000,0,0,0
50,1.501284,active,6,301.579,178.141,66.529,1.0000,1,1.990,0,0,285.450,184.761,17.435,14,17,4,dormant,0,0,,2.901470,0,0,0,3.7983,-0.1356,0.0000,0,0,0
51,1.531310,active,6,304.957,175.309,68.221,1.0000,1,1.990,0,0,284.698,179.650,20.720,14,17,4,dormant,0,0,,3.964748,0,0,0,3.0291,-0.2009,0.0000,0,0,0
52,1.561335,active,6,306.588,176.866,67.648,1.0000,1,1.990,0,0,286.312,176.240,20.286,14,17,4,dormant,0,0,,4.270233,0,0,0,3.2537,0.2592,0.0000,0,0,0
53,1.591361,active,6,305.453,174.415,71.365,1.0000,1,1.990,0,0,285.778,175.740,19.720,14,17,5,dormant,0,0,,3.923471,0,0,0,2.7101,0.4209,0.0000,0,0,0
54,1.621387,active,6,303.188,173.928,71.569,1.0000,1,1.990,0,0,285.855,175.789,17.432,14,17,5,dormant,0,0,,3.697567,0,0,0,2.7994,0.2871,0.0000,0,0,0
55,1.651412,active,6,309.150,172.928,73.638,1.0000,1,1.990,0,0,293.488,169.395,16.056,14,17,5,dormant,0,0,,4.185676,0,0,0,4.3824,0.3515,0.0000,0,0,0
56,1.681438,active,6,301.309,173.683,69.771,1.0000,1,1.990,0,0,295.157,168.631,7.961,14,17,5,dormant,0,0,,4.022146,0,0,0,3.7143,0.4187,0.0000,0,0,0
57,1.711464,active,6,299.833,172.352,65.412,1.0000,1,1.990,0,0,295.811,167.465,6.330,14,17,5,dormant,0,0,,3.996936,0,0,0,3.4071,0.1012,0.0000,0,0,0
58,1.741489,active,6,302.710,171.434,61.946,1.0000,1,1.990,0,0,297.492,165.392,7.984,14,17,5,dormant,0,0,,3.950721,0,0,0,3.8591,0.1957,0.0000,0,0,0
59,1.771515,active,6,302.233,172.415,61.653,1.0000,1,1.990,0,0,297.819,161.861,11.439,16,19,5,dormant,0,0,,4.022166,0,0,0,2.7578,0.4059,0.0000,0,0,0
60,1.801541,active,6,306.358,175.116,59.760,1.0000,1,1.990,0,0,299.310,161.578,15.263,16,20,6,dormant,0,0,,2.822730,0,0,0,2.6792,0.4120,0.0000,0,0,0
61,1.831566,active,6,306.691,173.556,59.225,1.0000,1,1.990,0,0,299.108,161.024,14.648,15,20,6,dormant,0,0,,3.812292,0,0,0,2.8913,0.4048,0.0000,0,0,0
62,1.861592,active,6,312.833,163.026,54.509,1.0000,1,1.990,0,0,299.284,160.869,13.720,15,19,7,dormant,0,0,,3.903340,0,0,0,2.7259,0.5300,0.0000,0,0,0
63,1.891618,active,6,308.596,165.503,58.359,0.8607,1,2.431,1,1,299.131,159.902,10.998,14,19,8,dormant,0,0,,0.469613,0,0,0,2.5202,0.8959,0.0000,0,0,0
64,1.921643,active,6,309.210,164.095,57.858,0.7408,1,2.872,2,1,301.549,156.082,11.087,14,19,10,dormant,0,0,,0.013980,0,0,0,2.6929,1.3009,0.0000,0,0,0
65,1.951669,active,6,309.824,162.688,57.358,0.6376,1,3.320,3,1,301.947,153.500,12.102,14,19,10,dormant,0,0,,0.121187,0,0,0,2.5380,1.4730,0.0000,0,0,0
66,1.981695,active,6,305.053,154.834,60.821,1.0000,1,2.553,0,0,302.018,152.398,3.891,15,19,10,dormant,0,0,,0.651086,0,0,0,2.5931,1.3012,0.0000,0,0,0
67,2.011720,active,6,303.157,157.542,57.256,1.0000,1,2.257,0,0,302.736,150.461,7.094,15,19,10,dormant,0,0,,1.893295,0,0,0,3.6063,0.7610,0.0000,0,0,0
68,2.041746,active,6,304.590,155.673,58.446,1.0000,1,2.118,0,0,302.239,150.689,5.510,15,19,10,dormant,0,0,,2.326282,0,0,0,3.4852,0.4198,0.0000,0,0,0
69,2.071772,active,6,296.315,161.620,53.926,1.0000,1,2.050,0,0,301.504,149.420,13.257,15,18,10,dormant,0,0,,2.139915,0,0,0,3.3975,1.2561,0.0000,0,0,0
70,2.101797,active,6,248.205,188.854,88.924,1.0000,1,2.016,0,0,299.497,146.822,66.314,15,18,10,dormant,0,0,,2.767011,0,0,0,3.8420,1.3366,0.0000,0,0,0
71,2.131823,active,6,282.075,166.176,67.418,0.8607,1,2.450,1,1,295.631,143.896,26.080,14,18,9,dormant,0,0,,0.400534,0,0,0,3.0689,1.6665,0.0000,0,0,0
72,2.161849,active,6,277.281,143.979,69.527,1.0000,1,2.218,0,0,292.114,142.908,14.872,14,18,9,dormant,0,0,,0.538388,0,0,0,3.6151,1.5504,0.0000,0,0,0
73,2.191874,active,6,278.777,132.424,66.265,1.0000,1,2.105,0,0,287.226,140.083,11.404,14,18,9,dormant,0,0,,2.630498,0,0,0,2.9671,1.6876,0.0000,0,0,0
74,2.221900,active,6,270.950,138.866,68.090,1.0000,1,2.047,0,0,283.990,138.451,13.047,16,18,10,dormant,0,0,,2.372310,0,0,0,2.6875,1.8195,0.0000,0,0,0
75,2.251926,active,6,276.473,137.085,65.075,1.0000,1,2.018,0,0,279.817,136.220,3.453,14,17,10,dormant,0,0,,2.514383,0,0,0,3.1627,2.0277,0.0000,0,0,0
76,2.281951,active,6,271.930,129.476,62.597,1.0000,1,2.003,0,0,274.021,134.482,5.426,14,17,10,dormant,0,0,,2.666993,0,0,0,3.3615,2.1584,0.0000,0,0,0
77,2.311977,active,6,273.202,124.128,59.844,1.0000,1,1.996,0,0,267.175,134.366,11.881,13,17,10,dormant,0,0,,2.272401,0,0,0,3.3630,1.7365,0.0000,0,0,0
78,2.342003,active,6,259.801,129.655,57.502,1.0000,1,1.992,0,0,265.634,132.429,6.459,13,17,10,dormant,0,0,,2.547942,0,0,0,3.1584,1.6172,0.0000,0,0,0
79,2.372029,active,6,264.767,130.082,63.764,1.0000,1,1.991,0,0,264.261,132.001,1.985,13,17,10,dormant,0,0,,2.383765,0,0,0,2.9091,2.1642,0.0000,0,0,0
80,2.402054,active,6,261.952,131.857,66.895,1.0000,1,1.991,0,0,261.112,131.307,1.004,13,17,10,dormant,0,0,,2.701097,0,0,0,3.3470,2.2295,0.0000,0,0,0
81,2.432080,active,6,263.105,128.876,66.967,1.0000,1,1.990,0,0,259.844,130.416,3.606,14,17,11,dormant,0,0,,3.008836,0,0,0,1.6620,2.0729,0.0000,0,0,0
82,2.462106,active,6,248.603,124.425,59.814,1.0000,1,1.990,0,0,259.211,128.564,11.387,14,17,12,dormant,0,0,,3.141151,0,0,0,2.2471,1.7431,0.0000,0,0,0
83,2.492131,active,6,259.132,130.263,66.541,1.0000,1,1.990,0,0,257.882,126.516,3.950,14,17,12,dormant,0,0,,4.277596,0,0,0,2.0166,2.6588,0.0000,0,0,0
84,2.522157,active,6,253.824,133.281,64.916,1.0000,1,1.990,0,0,257.190,124.774,9.148,14,17,12,dormant,0,0,,4.449059,0,0,0,2.1118,2.2630,0.0000,0,0,0
85,2.552183,active,6,254.253,128.447,66.547,1.0000,1,1.990,0,0,255.171,122.571,5.947,14,17,11,dormant,0,0,,4.513057,0,0,0,2.0155,1.9403,0.0000,0,0,0
86,2.582208,active,6,263.337,124.142,65.659,1.0000,1,1.990,0,0,253.785,119.307,10.706,15,17,11,dormant,0,0,,4.092379,0,0,0,1.9523,1.6109,0.0000,0,0,0
87,2.612234,active,6,263.756,124.197,64.011,1.0000,1,1.990,0,0,251.320,117.482,14.133,14,17,11,dormant,0,0,,4.000290,0,0,0,1.3627,1.9711,0.0000,0,0,0
88,2.642260,active,6,262.897,126.227,64.191,1.0000,1,1.990,0,0,249.546,115.494,17.130,14,17,12,dormant,0,0,,3.807559,0,0,0,1.9493,1.9182,0.0000,0,0,0
89,2.672285,active,6,259.322,127.985,64.358,1.0000,1,1.990,0,0,247.962,114.257,17.819,14,17,12,dormant,0,0,,2.046037,0,0,0,1.5428,2.0412,0.0000,0,0,0
90,2.702311,active,6,255.018,132.239,67.887,1.0000,1,1.990,0,0,247.606,114.022,19.666,14,17,12,dormant,0,0,,1.770815,0,0,0,0.8242,2.1630,0.0000,0,0,0
91,2.732337,active,6,254.449,131.757,66.442,1.0000,1,1.990,0,0,247.797,114.343,18.641,14,17,12,dormant,0,0,,1.415414,0,0,0,1.7110,2.0420,0.0000,0,0,0
92,2.762362,active,6,250.778,131.414,65.186,1.0000,1,1.990,0,0,247.718,114.300,17.386,14,16,12,dormant,0,0,,1.514383,0,0,0,1.1914,2.9857,0.0000,0,0,0
93,2.792388,active,6,256.753,133.069,62.213,1.0000,1,1.990,0,0,247.901,114.216,20.828,14,16,12,dormant,0,0,,1.838252,0,0,0,1.4021,2.9970,0.0000,0,0,0
94,2.822414,active,6,253.653,138.647,64.157,1.0000,1,1.990,0,0,247.771,114.334,25.014,14,16,12,dormant,0,0,,1.951464,0,0,0,1.0533,2.2164,0.0000,0,0,0
95,2.852439,active,6,251.194,139.115,64.755,1.0000,1,1.990,0,0,247.459,113.933,25.458,14,15,12,dormant,0,0,,1.858361,0,0,0,0.7648,2.0255,0.0000,0,0,0
96,2.882465,active,6,245.456,141.372,64.836,1.0000,1,1.990,0,0,247.507,114.058,27.391,14,15,12,dormant,0,0,,1.703581,0,0,0,0.7405,1.7404,0.0000,0,0,0
97,2.912491,active,6,241.701,140.321,65.506,1.0000,1,1.990,0,0,247.789,114.088,26.931,14,15,12,dormant,0,0,,1.985632,0,0,0,0.6634,2.3516,0.0000,0,0,0
